id,word,translation,category,curriculumLevel,example,exampleZh,image,audio
mc-cauldron,cauldron,炼药锅,item,MC-D2,I show the cauldron to my teammate at camp.,我在营地把cauldron给队友看。,media/semantic/cauldron.png,
mc-charcoal,charcoal,木炭,item,MC-D2,I find the charcoal beside the crafting table.,我在工作台旁边找到charcoal。,media/semantic/charcoal.png,
mc-chorus,chorus,紫颂果,item,MC-D2,I use the chorus during our mission.,任务里我用到了chorus。,media/semantic/chorus.png,
mc-command,command,命令,item,MC-D2,We share the command when the team needs it.,队友需要时我们一起用command。,media/semantic/command.png,media/audio/command.mp3
mc-compass,compass,指南针,item,MC-D2,The compass is ready for our next adventure.,compass已经准备好下一次冒险。,media/semantic/compass.png,media/audio/compass.mp3
mc-compound,compound,化合物,item,MC-D2,The compound stays safe in my backpack.,compound安全地待在我的背包里。,media/semantic/compound.png,
mc-concrete,concrete,混凝土,item,MC-D2,I check the concrete beside the campfire.,我在篝火旁检查concrete。,media/semantic/concrete.png,media/audio/concrete.mp3
mc-copper,copper,铜,item,MC-D2,The copper is ready for our next adventure.,copper已经准备好下一次冒险。,media/semantic/copper.png,
mc-crafting,crafting,合成,item,MC-D2,The crafting is ready for our next adventure.,crafting已经准备好下一次冒险。,media/semantic/crafting.png,media/audio/crafting.mp3
mc-crawling,crawling,爬行,item,MC-D2,The crawling stays safe in my backpack.,crawling安全地待在我的背包里。,media/semantic/crawling.png,
mc-creaking,creaking,嘎吱怪,item,MC-D2,I check the creaking before leaving camp.,离开营地前我先检查creaking。,media/semantic/creaking.png,media/audio/creaking.mp3
mc-crit,crit,暴击,item,MC-D2,The crit helps us finish the small task.,crit帮我们做完这件小事。,media/semantic/crit.png,
mc-datapack,datapack,数据包,item,MC-D2,I check the datapack beside the campfire.,我在篝火旁检查datapack。,media/semantic/datapack.png,media/audio/datapack.mp3
mc-debug,debug,调试,item,MC-D2,I show the debug to my teammate at camp.,我在营地把debug给队友看。,media/semantic/debug.png,
mc-default,default,默认,item,MC-D2,I place the default in my adventure chest.,我把default放进冒险箱子。,media/semantic/default.png,
mc-density,density,密集,item,MC-D2,The density stays safe in my backpack.,density安全地待在我的背包里。,media/semantic/density.png,media/audio/density.mp3
mc-diamonds,diamonds,钻石,item,MC-D2,I place the diamonds in my adventure chest.,我把diamonds放进冒险箱子。,media/semantic/diamonds.png,
mc-diorite,diorite,闪长岩,item,MC-D2,I pick up the diorite near the path.,我在小路边捡起diorite。,media/semantic/diorite.png,
mc-donkey,donkey,驴,item,MC-D2,I find the donkey beside the crafting table.,我在工作台旁边找到donkey。,media/semantic/donkey.png,media/audio/donkey.mp3
mc-dropper,dropper,投掷器,item,MC-D2,I check the dropper before leaving camp.,离开营地前我先检查dropper。,media/semantic/dropper.png,
mc-drowned,drowned,溺尸,item,MC-D2,I use the drowned during our mission.,任务里我用到了drowned。,media/semantic/drowned.png,media/audio/drowned.mp3
mc-dungeon,dungeon,地牢,item,MC-D2,I pick up the dungeon near the path.,我在小路边捡起dungeon。,media/semantic/dungeon.png,media/audio/dungeon.mp3
mc-elytra,elytra,鞘翅,item,MC-D2,I pick up the elytra near the path.,我在小路边捡起elytra。,media/semantic/elytra.png,
mc-emerald,emerald,绿宝石,item,MC-D2,I find the emerald beside the crafting table.,我在工作台旁边找到emerald。,media/semantic/emerald.png,
mc-emote,emote,表情动作,item,MC-D2,We keep the emote in a quiet corner.,我们把emote放在安静的角落。,media/semantic/emote.png,
mc-entities,entities,实体,item,MC-D2,I use the entities during our mission.,任务里我用到了entities。,media/semantic/entities.png,
mc-evoker,evoker,唤魔者,item,MC-D2,We keep the evoker in a quiet corner.,我们把evoker放在安静的角落。,media/semantic/evoker.png,
mc-feather,feather,羽毛,item,MC-D2,I check the feather beside the campfire.,我在篝火旁检查feather。,media/semantic/feather.png,
mc-fluids,fluids,流体,item,MC-D2,We prepare the fluids before sunset.,日落前我们把fluids准备好。,media/semantic/fluids.png,
mc-fog,fog,雾,item,MC-D2,I show the fog to my teammate at camp.,我在营地把fog给队友看。,media/semantic/fog.png,
mc-fortune,fortune,时运,item,MC-D2,I place the fortune in my adventure chest.,我把fortune放进冒险箱子。,media/semantic/fortune.png,media/audio/fortune.mp3
mc-fossil,fossil,化石,item,MC-D2,We share the fossil when the team needs it.,队友需要时我们一起用fossil。,media/semantic/fossil.png,media/audio/fossil.mp3
mc-furnace,furnace,熔炉,item,MC-D2,I use the furnace during our mission.,任务里我用到了furnace。,media/semantic/furnace.png,
mc-garbage,garbage,垃圾,item,MC-D2,I show the garbage to my teammate at camp.,我在营地把garbage给队友看。,media/semantic/garbage.png,
mc-granite,granite,花岗岩,item,MC-D2,My teammate passes me the granite.,队友把granite递给我。,media/semantic/granite.png,
mc-helmet,helmet,头盔,item,MC-D2,I check the helmet before leaving camp.,离开营地前我先检查helmet。,media/semantic/helmet.png,
mc-hopper,hopper,漏斗,item,MC-D2,I check the hopper before leaving camp.,离开营地前我先检查hopper。,media/semantic/hopper.png,media/audio/hopper.mp3
mc-hostile,hostile,敌对的,item,MC-D2,I find the hostile beside the crafting table.,我在工作台旁边找到hostile。,media/semantic/hostile.png,media/audio/hostile.mp3
mc-illager,illager,灾厄村民,item,MC-D2,I check the illager beside the campfire.,我在篝火旁检查illager。,media/semantic/illager.png,media/audio/illager.mp3
mc-impaling,impaling,穿刺,item,MC-D2,I use the impaling during our mission.,任务里我用到了impaling。,media/semantic/impaling.png,media/audio/impaling.mp3
mc-infinity,infinity,无限,item,MC-D2,I check the infinity beside the campfire.,我在篝火旁检查infinity。,media/semantic/infinity.png,media/audio/infinity.mp3
mc-item,item,項目,item,MC-D2,I find the item beside the crafting table.,我在工作台旁边找到item。,media/semantic/item.png,
mc-jukebox,jukebox,唱片机,item,MC-D2,The jukebox is ready for our next adventure.,jukebox已经准备好下一次冒险。,media/semantic/jukebox.png,
mc-ladder,ladder,梯子,item,MC-D2,I find the ladder beside the crafting table.,我在工作台旁边找到ladder。,media/semantic/ladder.png,media/audio/ladder.mp3
mc-lantern,lantern,灯笼,item,MC-D2,I use the lantern during our mission.,任务里我用到了lantern。,media/semantic/lantern.png,
mc-leather,leather,皮革,item,MC-D2,I use the leather during our mission.,任务里我用到了leather。,media/semantic/leather.png,
mc-lectern,lectern,讲台,item,MC-D2,The lectern helps us finish the small task.,lectern帮我们做完这件小事。,media/semantic/lectern.png,
mc-looting,looting,抢夺,item,MC-D2,The looting helps us finish the small task.,looting帮我们做完这件小事。,media/semantic/looting.png,media/audio/looting.mp3
mc-loyalty,loyalty,忠诚,item,MC-D2,We share the loyalty when the team needs it.,队友需要时我们一起用loyalty。,media/semantic/loyalty.png,media/audio/loyalty.mp3
mc-meadow,meadow,草甸,item,MC-D2,We keep the meadow in a quiet corner.,我们把meadow放在安静的角落。,media/semantic/meadow.png,
mc-mending,mending,经验修补,item,MC-D2,I pick up the mending near the path.,我在小路边捡起mending。,media/semantic/mending.png,media/audio/mending.mp3
mc-minecart,minecart,矿车,item,MC-D2,We keep the minecart in a quiet corner.,我们把minecart放在安静的角落。,media/semantic/minecart.png,
mc-neutral,neutral,中立的,item,MC-D2,My teammate passes me the neutral.,队友把neutral递给我。,media/semantic/neutral.png,media/audio/neutral.mp3
mc-nugget,nugget,粒,item,MC-D2,I find the nugget beside the crafting table.,我在工作台旁边找到nugget。,media/semantic/nugget.png,media/audio/nugget.mp3
mc-observer,observer,侦测器,item,MC-D2,We prepare the observer before sunset.,日落前我们把observer准备好。,media/semantic/observer.png,
mc-obsidian,obsidian,黑曜石,item,MC-D2,I place the obsidian in my adventure chest.,我把obsidian放进冒险箱子。,media/semantic/obsidian.png,
mc-ocelot,ocelot,豹猫,item,MC-D2,I place the ocelot in my adventure chest.,我把ocelot放进冒险箱子。,media/semantic/ocelot.png,media/audio/ocelot.mp3
mc-operator,operator,管理员,item,MC-D2,I show the operator to my teammate at camp.,我在营地把operator给队友看。,media/semantic/operator.png,media/audio/operator.mp3
mc-passive,passive,被动的,item,MC-D2,My teammate passes me the passive.,队友把passive递给我。,media/semantic/passive.png,media/audio/passive.mp3
mc-peaceful,peaceful,和平模式,item,MC-D2,I find the peaceful beside the crafting table.,我在工作台旁边找到peaceful。,media/semantic/peaceful.png,media/audio/peaceful.mp3
mc-piercing,piercing,穿透,item,MC-D2,I place the piercing in my adventure chest.,我把piercing放进冒险箱子。,media/semantic/piercing.png,media/audio/piercing.mp3
mc-pillager,pillager,掠夺者,item,MC-D2,I use the pillager during our mission.,任务里我用到了pillager。,media/semantic/pillager.png,media/audio/pillager.mp3
mc-piston,piston,活塞,item,MC-D2,I check the piston before leaving camp.,离开营地前我先检查piston。,media/semantic/piston.png,
mc-potion,potion,药水,item,MC-D2,I find the potion beside the crafting table.,我在工作台旁边找到potion。,media/semantic/potion.png,media/audio/potion.mp3
mc-pumpkin,pumpkin,南瓜,item,MC-D2,I use the pumpkin during our mission.,任务里我用到了pumpkin。,media/semantic/pumpkin.png,
mc-quartz,quartz,石英,item,MC-D2,The quartz is ready for our next adventure.,quartz已经准备好下一次冒险。,media/semantic/quartz.png,media/audio/quartz.mp3
mc-quiver,quiver,箭袋,item,MC-D2,The quiver helps us finish the small task.,quiver帮我们做完这件小事。,media/semantic/quiver.png,
mc-ravager,ravager,劫掠兽,item,MC-D2,We prepare the ravager before sunset.,日落前我们把ravager准备好。,media/semantic/ravager.png,media/audio/ravager.mp3
mc-repeater,repeater,中继器,item,MC-D2,We share the repeater when the team needs it.,队友需要时我们一起用repeater。,media/semantic/repeater.png,media/audio/repeater.mp3
mc-riding,riding,骑乘,item,MC-D2,We keep the riding in a quiet corner.,我们把riding放在安静的角落。,media/semantic/riding.png,
mc-riptide,riptide,激流,item,MC-D2,We share the riptide when the team needs it.,队友需要时我们一起用riptide。,media/semantic/riptide.png,media/audio/riptide.mp3
mc-saddle,saddle,马鞍,item,MC-D2,My teammate passes me the saddle.,队友把saddle递给我。,media/semantic/saddle.png,
mc-shulker,shulker,潜影贝,item,MC-D2,The shulker helps us finish the small task.,shulker帮我们做完这件小事。,media/semantic/shulker.png,media/audio/shulker.mp3
mc-slate,slate,板岩,item,MC-D2,My teammate passes me the slate.,队友把slate递给我。,media/semantic/slate.png,
mc-smelting,smelting,熔炼,item,MC-D2,I return the smelting after the mission.,任务结束后我把smelting还回去。,media/semantic/smelting.png,media/audio/smelting.mp3
mc-smoker,smoker,烟熏炉,item,MC-D2,I pick up the smoker near the path.,我在小路边捡起smoker。,media/semantic/smoker.png,
mc-sneak,sneak,潜行,item,MC-D2,I return the sneak after the mission.,任务结束后我把sneak还回去。,media/semantic/sneak.png,
mc-sniffer,sniffer,嗅探兽,item,MC-D2,My teammate passes me the sniffer.,队友把sniffer递给我。,media/semantic/sniffer.png,media/audio/sniffer.mp3
mc-snowball,snowball,雪球,item,MC-D2,The snowball stays safe in my backpack.,snowball安全地待在我的背包里。,media/semantic/snowball.png,
mc-snowfall,snowfall,降雪,item,MC-D2,We prepare the snowfall before sunset.,日落前我们把snowfall准备好。,media/semantic/snowfall.png,
mc-sponge,sponge,海绵,item,MC-D2,We keep the sponge in a quiet corner.,我们把sponge放在安静的角落。,media/semantic/sponge.png,
mc-sprint,sprint,疾跑,item,MC-D2,I pick up the sprint near the path.,我在小路边捡起sprint。,media/semantic/sprint.png,
mc-spyglass,spyglass,望远镜,item,MC-D2,We prepare the spyglass before sunset.,日落前我们把spyglass准备好。,media/semantic/spyglass.png,
mc-stars,stars,星星,item,MC-D2,We share the stars when the team needs it.,队友需要时我们一起用stars。,media/semantic/stars.png,
mc-tadpole,tadpole,蝌蚪,item,MC-D2,We prepare the tadpole before sunset.,日落前我们把tadpole准备好。,media/semantic/tadpole.png,media/audio/tadpole.mp3
mc-thorns,thorns,荆棘,item,MC-D2,I check the thorns beside the campfire.,我在篝火旁检查thorns。,media/semantic/thorns.png,media/audio/thorns.mp3
mc-trapdoor,trapdoor,活板门,item,MC-D2,I use the trapdoor during our mission.,任务里我用到了trapdoor。,media/semantic/trapdoor.png,media/audio/trapdoor.mp3
mc-tundra,tundra,冻原,item,MC-D2,I check the tundra before leaving camp.,离开营地前我先检查tundra。,media/semantic/tundra.png,media/audio/tundra.mp3
mc-warden,warden,监守者,item,MC-D2,We share the warden when the team needs it.,队友需要时我们一起用warden。,media/semantic/warden.png,
mc-zoglin,zoglin,僵尸疣猪兽,item,MC-D2,I return the zoglin after the mission.,任务结束后我把zoglin还回去。,media/semantic/zoglin.png,media/audio/zoglin.mp3
mc-darkness,darkness,黑暗,effect,MC-D2,The darkness fades after a short time.,过一会儿darkness就消失了。,media/semantic/darkness.png,
mc-glowing,glowing,发光,effect,MC-D2,I check the glowing before entering the cave.,进洞前我先检查glowing。,media/semantic/glowing.png,
mc-haste,haste,急迫,effect,MC-D2,The potion gives me haste.,这瓶药水给了我haste。,media/semantic/haste.png,
mc-infested,infested,出没,effect,MC-D2,A glowing icon shows the infested.,发光的图标标出了infested。,media/semantic/infested.png,
mc-nausea,nausea,反胃,effect,MC-D2,The nausea fades after a short time.,过一会儿nausea就消失了。,media/semantic/nausea.png,
mc-oozing,oozing,渗浆,effect,MC-D2,I notice the oozing during the challenge.,挑战时我注意到oozing。,media/semantic/oozing.png,
mc-slowness,slowness,缓慢,effect,MC-D2,I notice the slowness during the challenge.,挑战时我注意到slowness。,media/semantic/slowness.png,
mc-speedrun,speedrun,速通,effect,MC-D2,A glowing icon shows the speedrun.,发光的图标标出了speedrun。,media/semantic/speedrun.png,media/audio/speedrun.mp3
mc-strength,strength,力量,effect,MC-D2,The potion gives me strength.,这瓶药水给了我strength。,media/semantic/strength.png,
mc-weakness,weakness,虚弱,effect,MC-D2,The weakness helps me cross the cave.,weakness帮我穿过山洞。,media/semantic/weakness.png,
mc-weaving,weaving,编织,effect,MC-D2,The weaving fades after a short time.,过一会儿weaving就消失了。,media/semantic/weaving.png,
mc-bleach,bleach,漂白剂,color,MC-D2,A bleach path leads to the garden.,一条bleach小路通向花园。,media/semantic/bleach.png,
mc-redstone,redstone,红石,color,MC-D2,The redstone torch glows beside the door.,redstone火把在门边发着光。,media/semantic/redstone.png,
mc-allium,allium,绒球葱,plant,MC-D2,Rain helps the allium grow.,雨水帮助allium长大。,media/semantic/allium.png,
mc-azalea,azalea,杜鹃花,plant,MC-D2,I check the azalea before leaving camp.,离开营地前我先检查azalea。,media/semantic/azalea.png,
mc-cactus,cactus,仙人掌,plant,MC-D2,I plant the cactus beside the farm.,我在农场边种下cactus。,media/semantic/cactus.png,
mc-cocoa,cocoa,可可,plant,MC-D2,A path winds around the cocoa.,小路绕着cocoa弯过去。,media/semantic/cocoa.png,
mc-fern,fern,蕨类植物,plant,MC-D2,I plant the fern beside the farm.,我在农场边种下fern。,media/semantic/fern.png,
mc-leaves,leaves,树叶,plant,MC-D2,I plant the leaves near the village well.,我在村子水井旁种下leaves。,media/semantic/leaves.png,media/audio/leaves.mp3
mc-lilac,lilac,丁香,plant,MC-D2,A path winds around the lilac.,小路绕着lilac弯过去。,media/semantic/lilac.png,
mc-moss,moss,苔藓,plant,MC-D2,I water the moss in the morning.,早上我给moss浇水。,media/semantic/moss.png,
mc-orchid,orchid,兰花,plant,MC-D2,I plant the orchid beside the farm.,我在农场边种下orchid。,media/semantic/orchid.png,media/audio/orchid.mp3
mc-peony,peony,牡丹,plant,MC-D2,The peony makes the garden feel cheerful.,peony让花园看起来很开心。,media/semantic/peony.png,
mc-poppy,poppy,虞美人,plant,MC-D2,I plant the poppy near the village well.,我在村子水井旁种下poppy。,media/semantic/poppy.png,
mc-sapling,sapling,树苗,plant,MC-D2,I water the sapling in the morning.,早上我给sapling浇水。,media/semantic/sapling.png,media/audio/sapling.mp3
mc-seagrass,seagrass,海草方块,plant,MC-D2,A path winds around the seagrass.,小路绕着seagrass弯过去。,media/semantic/seagrass.png,
mc-seeds,seeds,种子,plant,MC-D2,Rain helps the seeds grow.,雨水帮助seeds长大。,media/semantic/seeds.png,
mc-vines,vines,攀緣植物,plant,MC-D2,The vines gives our garden a bright color.,vines让花园更鲜艳。,media/semantic/vines.png,
