id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
zh-拉,literacy,拉,lā,life,L2,拉长 拉扯,用组词来记：「拉长」「拉扯」。看见这些词，就能找到「拉」。,lā
zh-格,literacy,格,gé,life,L2,表格 出格,用组词来记：「表格」「出格」。看见这些词，就能找到「格」。,gé
zh-望,literacy,望,wàng,body,L2,举头望明 巴望,用组词来记：「举头望明」「巴望」。看见这些词，就能找到「望」。,wàng
zh-觉,literacy,觉,jué,life,L2,睡觉 春眠不觉,用组词来记：「睡觉」「春眠不觉」。看见这些词，就能找到「觉」。,jué
zh-术,literacy,术,shù,life,L2,高技术 核技术,用组词来记：「高技术」「核技术」。看见这些词，就能找到「术」。,shù
zh-领,literacy,领,lǐng,life,L2,本领 带领,用组词来记：「本领」「带领」。看见这些词，就能找到「领」。,lǐng
zh-共,literacy,共,gòng,life,L2,共产党 共处,用组词来记：「共产党」「共处」。看见这些词，就能找到「共」。,gòng
zh-确,literacy,确,què,life,L2,的确 精确,用组词来记：「的确」「精确」。看见这些词，就能找到「确」。,què
zh-传,literacy,传,chuán,life,L2,传帮带 传遍,用组词来记：「传帮带」「传遍」。看见这些词，就能找到「传」。,chuán
zh-师,literacy,师,shī,family,L2,老师 师父,用组词来记：「老师」「师父」。看见这些词，就能找到「师」。,shī
zh-观,literacy,观,guān,life,L2,悲观 参观,用组词来记：「悲观」「参观」。看见这些词，就能找到「观」。,guān
zh-清,literacy,清,qīng,color,L2,山清水秀 红掌拨清,用组词来记：「山清水秀」「红掌拨清」。看见这些词，就能找到「清」。,qīng
zh-今,literacy,今,jīn,life,L2,今天 今晚,用组词来记：「今天」「今晚」。看见这些词，就能找到「今」。,jīn
zh-切,literacy,切,qiè,life,L2,关切 急切,用组词来记：「关切」「急切」。看见这些词，就能找到「切」。,qiè
zh-院,literacy,院,yuàn,life,L2,保育院 病院,用组词来记：「保育院」「病院」。看见这些词，就能找到「院」。,yuàn
zh-让,literacy,让,ràng,life,L2,出让 互让,用组词来记：「出让」「互让」。看见这些词，就能找到「让」。,ràng
zh-识,literacy,识,shí,life,L2,不相识 不识君,用组词来记：「不相识」「不识君」。看见这些词，就能找到「识」。,shí
zh-候,literacy,候,hòu,life,L2,伺候 到时候,用组词来记：「伺候」「到时候」。看见这些词，就能找到「候」。,hòu
zh-带,literacy,带,dài,life,L2,安全带 传帮带,用组词来记：「安全带」「传帮带」。看见这些词，就能找到「带」。,dài
zh-导,literacy,导,dǎo,life,L2,半导体 编导,用组词来记：「半导体」「编导」。看见这些词，就能找到「导」。,dǎo
zh-争,literacy,争,zhēng,life,L2,斗争 斗争性,用组词来记：「斗争」「斗争性」。看见这些词，就能找到「争」。,zhēng
zh-运,literacy,运,yùn,life,L2,奥运会 搬运,用组词来记：「奥运会」「搬运」。看见这些词，就能找到「运」。,yùn
zh-笑,literacy,笑,xiào,action,L2,笑脸 大笑,用组词来记：「笑脸」「大笑」。看见这些词，就能找到「笑」。,xiào
zh-飞,literacy,飞,fēi,action,L2,飞机 飞鸟,用组词来记：「飞机」「飞鸟」。看见这些词，就能找到「飞」。,fēi
zh-风,literacy,风,fēng,nature,L2,大风 风车,用组词来记：「大风」「风车」。看见这些词，就能找到「风」。,fēng
zh-步,literacy,步,bù,action,L2,舞步 跑步,用组词来记：「舞步」「跑步」。看见这些词，就能找到「步」。,bù
zh-改,literacy,改,gǎi,life,L2,乡音无改 篡改,用组词来记：「乡音无改」「篡改」。看见这些词，就能找到「改」。,gǎi
zh-收,literacy,收,shōu,life,L2,秋收万颗 超收,用组词来记：「秋收万颗」「超收」。看见这些词，就能找到「收」。,shōu
zh-根,literacy,根,gēn,life,L2,病根 存根,用组词来记：「病根」「存根」。看见这些词，就能找到「根」。,gēn
zh-干,literacy,干,gàn,life,L2,包干 包干制,用组词来记：「包干」「包干制」。看见这些词，就能找到「干」。,gàn
zh-造,literacy,造,zào,life,L2,编造 创造,用组词来记：「编造」「创造」。看见这些词，就能找到「造」。,zào
zh-言,literacy,言,yán,life,L2,言师采药 代言人,用组词来记：「言师采药」「代言人」。看见这些词，就能找到「言」。,yán
zh-联,literacy,联,lián,life,L2,并联 残联,用组词来记：「并联」「残联」。看见这些词，就能找到「联」。,lián
zh-持,literacy,持,chí,life,L2,把持 保持,用组词来记：「把持」「保持」。看见这些词，就能找到「持」。,chí
zh-组,literacy,组,zǔ,life,L2,班组 班组长,用组词来记：「班组」「班组长」。看见这些词，就能找到「组」。,zǔ
zh-每,literacy,每,měi,life,L2,每逢佳节 每次,用组词来记：「每逢佳节」「每次」。看见这些词，就能找到「每」。,měi
zh-济,literacy,济,jì,life,L2,不经济 接济,用组词来记：「不经济」「接济」。看见这些词，就能找到「济」。,jì
zh-车,literacy,车,chē,life,L2,小车 开车,用组词来记：「小车」「开车」。看见这些词，就能找到「车」。,chē
zh-亲,literacy,亲,qīn,family,L2,亲朋 母亲,用组词来记：「亲朋」「母亲」。看见这些词，就能找到「亲」。,qīn
zh-极,literacy,极,jí,life,L2,北极 北极星,用组词来记：「北极」「北极星」。看见这些词，就能找到「极」。,jí
zh-林,literacy,林,lín,life,L2,枫林晚 歌声振林,用组词来记：「枫林晚」「歌声振林」。看见这些词，就能找到「林」。,lín
zh-服,literacy,服,fú,life,L2,衣服 不服,用组词来记：「衣服」「不服」。看见这些词，就能找到「服」。,fú
zh-快,literacy,快,kuài,action,L2,快跑 快乐,用组词来记：「快跑」「快乐」。看见这些词，就能找到「快」。,kuài
zh-办,literacy,办,bàn,life,L2,办案 办班,用组词来记：「办案」「办班」。看见这些词，就能找到「办」。,bàn
zh-议,literacy,议,yì,life,L2,参议 倡议,用组词来记：「参议」「倡议」。看见这些词，就能找到「议」。,yì
zh-往,literacy,往,wǎng,life,L2,不来往 飞往,用组词来记：「不来往」「飞往」。看见这些词，就能找到「往」。,wǎng
zh-元,literacy,元,yuán,life,L2,单元 多元,用组词来记：「单元」「多元」。看见这些词，就能找到「元」。,yuán
zh-英,literacy,英,yīng,life,L2,精英 群英,用组词来记：「精英」「群英」。看见这些词，就能找到「英」。,yīng
zh-士,literacy,士,shì,life,L2,博士 博士生,用组词来记：「博士」「博士生」。看见这些词，就能找到「士」。,shì
zh-证,literacy,证,zhèng,life,L2,保证 保证金,用组词来记：「保证」「保证金」。看见这些词，就能找到「证」。,zhèng
zh-近,literacy,近,jìn,action,L2,近听水无 挨近,用组词来记：「近听水无」「挨近」。看见这些词，就能找到「近」。,jìn
zh-失,literacy,失,shī,life,L2,不失 不失为,用组词来记：「不失」「不失为」。看见这些词，就能找到「失」。,shī
zh-转,literacy,转,zhuǎn,life,L2,并转 掉转,用组词来记：「并转」「掉转」。看见这些词，就能找到「转」。,zhuǎn
zh-夫,literacy,夫,fū,life,L2,农夫犹饿 大夫,用组词来记：「农夫犹饿」「大夫」。看见这些词，就能找到「夫」。,fū
zh-令,literacy,令,lìng,life,L2,法令 号令,用组词来记：「法令」「号令」。看见这些词，就能找到「令」。,lìng
zh-准,literacy,准,zhǔn,life,L2,标准 不准,用组词来记：「标准」「不准」。看见这些词，就能找到「准」。,zhǔn
zh-布,literacy,布,bù,action,L2,布鞋 遥看瀑布,用组词来记：「布鞋」「遥看瀑布」。看见这些词，就能找到「布」。,bù
zh-怎,literacy,怎,zěn,life,L2,怎么 怎么办,用组词来记：「怎么」「怎么办」。看见这些词，就能找到「怎」。,zěn
zh-存,literacy,存,cún,life,L2,保存 保存期,用组词来记：「保存」「保存期」。看见这些词，就能找到「存」。,cún
zh-未,literacy,未,wèi,life,L2,人未还 并未,用组词来记：「人未还」「并未」。看见这些词，就能找到「未」。,wèi
zh-远,literacy,远,yuǎn,action,L2,远上寒山 远看山有,用组词来记：「远上寒山」「远看山有」。看见这些词，就能找到「远」。,yuǎn
zh-叫,literacy,叫,jiào,life,L2,哀叫 喊叫,用组词来记：「哀叫」「喊叫」。看见这些词，就能找到「叫」。,jiào
zh-台,literacy,台,tái,number,L2,台灯 亭台六七,用组词来记：「台灯」「亭台六七」。看见这些词，就能找到「台」。,tái
zh-单,literacy,单,dān,life,L2,本单位 不单,用组词来记：「本单位」「不单」。看见这些词，就能找到「单」。,dān
zh-影,literacy,影,yǐng,nature,L2,电影 电影界,用组词来记：「电影」「电影界」。看见这些词，就能找到「影」。,yǐng
zh-具,literacy,具,jù,action,L2,玩具 餐具,用组词来记：「玩具」「餐具」。看见这些词，就能找到「具」。,jù
zh-罗,literacy,罗,luō,life,L2,俄罗斯 罗列,用组词来记：「俄罗斯」「罗列」。看见这些词，就能找到「罗」。,luō
zh-字,literacy,字,zì,school,L2,写字 生字,用组词来记：「写字」「生字」。看见这些词，就能找到「字」。,zì
zh-爱,literacy,爱,ài,self,L2,爱心 爱家,用组词来记：「爱心」「爱家」。看见这些词，就能找到「爱」。,ài
zh-击,literacy,击,jī,life,L2,搏击 冲击,用组词来记：「搏击」「冲击」。看见这些词，就能找到「击」。,jī
zh-流,literacy,流,liú,nature,L2,惜细流 碧水东流,用组词来记：「惜细流」「碧水东流」。看见这些词，就能找到「流」。,liú
zh-备,literacy,备,bèi,life,L2,备案 备查,用组词来记：「备案」「备查」。看见这些词，就能找到「备」。,bèi
zh-兵,literacy,兵,bīng,life,L2,标兵 兵变,用组词来记：「标兵」「兵变」。看见这些词，就能找到「兵」。,bīng
zh-连,literacy,连,lián,life,L2,大连 接连,用组词来记：「大连」「接连」。看见这些词，就能找到「连」。,lián
zh-调,literacy,调,diào,school,L2,笔调 步调,用组词来记：「笔调」「步调」。看见这些词，就能找到「调」。,diào
zh-深,literacy,深,shēn,nature,L2,深千尺 云深不知,用组词来记：「深千尺」「云深不知」。看见这些词，就能找到「深」。,shēn
zh-商,literacy,商,shāng,life,L2,厂商 承包商,用组词来记：「厂商」「承包商」。看见这些词，就能找到「商」。,shāng
zh-算,literacy,算,suàn,life,L2,不算 测算,用组词来记：「不算」「测算」。看见这些词，就能找到「算」。,suàn
zh-质,literacy,质,zhì,life,L2,保质 本质,用组词来记：「保质」「本质」。看见这些词，就能找到「质」。,zhì
zh-团,literacy,团,tuán,life,L2,报告团 兵团,用组词来记：「报告团」「兵团」。看见这些词，就能找到「团」。,tuán
zh-集,literacy,集,jí,life,L2,采集 筹集,用组词来记：「采集」「筹集」。看见这些词，就能找到「集」。,jí
zh-百,literacy,百,bǎi,number,L2,一百 百花,用组词来记：「一百」「百花」。看见这些词，就能找到「百」。,bǎi
zh-需,literacy,需,xū,life,L2,必需 必需品,用组词来记：「必需」「必需品」。看见这些词，就能找到「需」。,xū
zh-价,literacy,价,jià,life,L2,报价 保价,用组词来记：「报价」「保价」。看见这些词，就能找到「价」。,jià
zh-花,literacy,花,huā,nature,L2,花朵 红花,用组词来记：「花朵」「红花」。看见这些词，就能找到「花」。,huā
zh-党,literacy,党,dǎng,life,L2,党代表 党代会,用组词来记：「党代表」「党代会」。看见这些词，就能找到「党」。,dǎng
zh-华,literacy,华,huá,life,L2,才华 对华,用组词来记：「才华」「对华」。看见这些词，就能找到「华」。,huá
zh-城,literacy,城,chéng,animal,L2,一片孤城 但使龙城,用组词来记：「一片孤城」「但使龙城」。看见这些词，就能找到「城」。,chéng
zh-石,literacy,石,shí,nature,L2,石头 大石,用组词来记：「石头」「大石」。看见这些词，就能找到「石」。,shí
zh-级,literacy,级,jí,life,L2,班级 部级,用组词来记：「班级」「部级」。看见这些词，就能找到「级」。,jí
zh-整,literacy,整,zhěng,life,L2,挨整 重整,用组词来记：「挨整」「重整」。看见这些词，就能找到「整」。,zhěng
zh-府,literacy,府,fǔ,life,L2,反政府 港府,用组词来记：「反政府」「港府」。看见这些词，就能找到「府」。,fǔ
zh-离,literacy,离,lí,life,L2,少小离家 离离原上,用组词来记：「少小离家」「离离原上」。看见这些词，就能找到「离」。,lí
zh-况,literacy,况,kuàng,life,L2,概况 何况,用组词来记：「概况」「何况」。看见这些词，就能找到「况」。,kuàng
zh-亚,literacy,亚,yà,life,L2,不亚于 东南亚,用组词来记：「不亚于」「东南亚」。看见这些词，就能找到「亚」。,yà
zh-请,literacy,请,qǐng,life,L2,报请 并请,用组词来记：「报请」「并请」。看见这些词，就能找到「请」。,qǐng
zh-技,literacy,技,jì,life,L2,高技术 高科技,用组词来记：「高技术」「高科技」。看见这些词，就能找到「技」。,jì
zh-际,literacy,际,jì,life,L2,边际 国际,用组词来记：「边际」「国际」。看见这些词，就能找到「际」。,jì
zh-约,literacy,约,yuē,life,L2,北约 大约,用组词来记：「北约」「大约」。看见这些词，就能找到「约」。,yuē
zh-示,literacy,示,shì,life,L2,暗示 表示,用组词来记：「暗示」「表示」。看见这些词，就能找到「示」。,shì
zh-复,literacy,复,fù,life,L2,报复 报复性,用组词来记：「报复」「报复性」。看见这些词，就能找到「复」。,fù
zh-病,literacy,病,bìng,life,L2,爱滋病 抱病,用组词来记：「爱滋病」「抱病」。看见这些词，就能找到「病」。,bìng
zh-息,literacy,息,xī,life,L2,安息 不息,用组词来记：「安息」「不息」。看见这些词，就能找到「息」。,xī
zh-究,literacy,究,jiū,life,L2,讲究 究竟,用组词来记：「讲究」「究竟」。看见这些词，就能找到「究」。,jiū
zh-线,literacy,线,xiàn,life,L2,边界线 边线,用组词来记：「边界线」「边线」。看见这些词，就能找到「线」。,xiàn
zh-似,literacy,似,shì,life,L2,好似 近似,用组词来记：「好似」「近似」。看见这些词，就能找到「似」。,shì
zh-官,literacy,官,guān,life,L2,法官 非官方,用组词来记：「法官」「非官方」。看见这些词，就能找到「官」。,guān
zh-火,literacy,火,huǒ,nature,L2,火车 大火,用组词来记：「火车」「大火」。看见这些词，就能找到「火」。,huǒ
zh-断,literacy,断,duàn,nature,L2,天门中断 不断,用组词来记：「天门中断」「不断」。看见这些词，就能找到「断」。,duàn
zh-精,literacy,精,jīng,life,L2,高精度 高精尖,用组词来记：「高精度」「高精尖」。看见这些词，就能找到「精」。,jīng
zh-满,literacy,满,mǎn,nature,L2,霜满天 摆满,用组词来记：「霜满天」「摆满」。看见这些词，就能找到「满」。,mǎn
zh-支,literacy,支,zhī,life,L2,超支 党支部,用组词来记：「超支」「党支部」。看见这些词，就能找到「支」。,zhī
zh-视,literacy,视,shì,life,L2,鄙视 仇视,用组词来记：「鄙视」「仇视」。看见这些词，就能找到「视」。,shì
zh-消,literacy,消,xiāo,life,L2,超消费 撤消,用组词来记：「超消费」「撤消」。看见这些词，就能找到「消」。,xiāo
zh-越,literacy,越,yuè,life,L2,超越 穿越,用组词来记：「超越」「穿越」。看见这些词，就能找到「越」。,yuè
zh-器,literacy,器,qì,life,L2,变压器 兵器,用组词来记：「变压器」「兵器」。看见这些词，就能找到「器」。,qì
zh-容,literacy,容,róng,life,L2,包容 不容,用组词来记：「包容」「不容」。看见这些词，就能找到「容」。,róng
zh-照,literacy,照,zhào,nature,L2,日照香炉 树阴照水,用组词来记：「日照香炉」「树阴照水」。看见这些词，就能找到「照」。,zhào
zh-须,literacy,须,xū,life,L2,必须 还须,用组词来记：「必须」「还须」。看见这些词，就能找到「须」。,xū
zh-九,literacy,九,jiǔ,number,L2,九个 九月,用组词来记：「九个」「九月」。看见这些词，就能找到「九」。,jiǔ
zh-增,literacy,增,zēng,life,L2,倍增 大增,用组词来记：「倍增」「大增」。看见这些词，就能找到「增」。,zēng
zh-研,literacy,研,yán,life,L2,调研 教研,用组词来记：「调研」「教研」。看见这些词，就能找到「研」。,yán
zh-写,literacy,写,xiě,action,L2,写字 写画,用组词来记：「写字」「写画」。看见这些词，就能找到「写」。,xiě
zh-称,literacy,称,chēng,life,L2,被称为 不称职,用组词来记：「被称为」「不称职」。看见这些词，就能找到「称」。,chēng
zh-企,literacy,企,qǐ,life,L2,各企业 企盼,用组词来记：「各企业」「企盼」。看见这些词，就能找到「企」。,qǐ
zh-八,literacy,八,bā,number,L2,八个 八月,用组词来记：「八个」「八月」。看见这些词，就能找到「八」。,bā
zh-功,literacy,功,gōng,life,L2,成功 成功率,用组词来记：「成功」「成功率」。看见这些词，就能找到「功」。,gōng
zh-包,literacy,包,bāo,life,L2,书包 面包,用组词来记：「书包」「面包」。看见这些词，就能找到「包」。,bāo
zh-片,literacy,片,piàn,number,L2,一片孤城 孤帆一片,用组词来记：「一片孤城」「孤帆一片」。看见这些词，就能找到「片」。,piàn
zh-史,literacy,史,shǐ,life,L2,创业史 党史,用组词来记：「创业史」「党史」。看见这些词，就能找到「史」。,shǐ
zh-委,literacy,委,wěi,life,L2,奥委会 编委会,用组词来记：「奥委会」「编委会」。看见这些词，就能找到「委」。,wěi
zh-乎,literacy,乎,hū,life,L2,不外乎 不在乎,用组词来记：「不外乎」「不在乎」。看见这些词，就能找到「乎」。,hū
zh-查,literacy,查,chá,life,L2,备查 查办,用组词来记：「备查」「查办」。看见这些词，就能找到「查」。,chá
zh-轻,literacy,轻,qīng,number,L2,轻舟已过 二轻局,用组词来记：「轻舟已过」「二轻局」。看见这些词，就能找到「轻」。,qīng
zh-易,literacy,易,yì,life,L2,不易 简易,用组词来记：「不易」「简易」。看见这些词，就能找到「易」。,yì
zh-早,literacy,早,zǎo,school,L2,早上 早安,用组词来记：「早上」「早安」。看见这些词，就能找到「早」。,zǎo
zh-曾,literacy,曾,céng,life,L2,不曾 曾经,用组词来记：「不曾」「曾经」。看见这些词，就能找到「曾」。,céng
zh-除,literacy,除,chú,number,L2,一岁除 铲除,用组词来记：「一岁除」「铲除」。看见这些词，就能找到「除」。,chú
zh-农,literacy,农,nóng,food,L2,农夫犹饿 菜农,用组词来记：「农夫犹饿」「菜农」。看见这些词，就能找到「农」。,nóng
zh-找,literacy,找,zhǎo,life,L2,查找 寻找,用组词来记：「查找」「寻找」。看见这些词，就能找到「找」。,zhǎo
zh-装,literacy,装,zhuāng,life,L2,安装 包装,用组词来记：「安装」「包装」。看见这些词，就能找到「装」。,zhuāng
zh-广,literacy,广,guǎng,life,L2,广播 广博,用组词来记：「广播」「广博」。看见这些词，就能找到「广」。,guǎng
zh-显,literacy,显,xiǎn,life,L2,明显 浅显,用组词来记：「明显」「浅显」。看见这些词，就能找到「显」。,xiǎn
zh-阿,literacy,阿,ā,family,L2,阿爸 阿霸,用组词来记：「阿爸」「阿霸」。看见这些词，就能找到「阿」。,ā
zh-李,literacy,李,lǐ,color,L2,李白乘舟 桃李,用组词来记：「李白乘舟」「桃李」。看见这些词，就能找到「李」。,lǐ
zh-标,literacy,标,biāo,life,L2,标榜 标本,用组词来记：「标榜」「标本」。看见这些词，就能找到「标」。,biāo
zh-谈,literacy,谈,tán,life,L2,畅谈 长谈,用组词来记：「畅谈」「长谈」。看见这些词，就能找到「谈」。,tán
zh-吃,literacy,吃,chī,action,L2,吃饭 吃菜,用组词来记：「吃饭」「吃菜」。看见这些词，就能找到「吃」。,chī
zh-图,literacy,图,tú,life,L2,画图 版图,用组词来记：「画图」「版图」。看见这些词，就能找到「图」。,tú
zh-念,literacy,念,niàn,life,L2,悼念 概念,用组词来记：「悼念」「概念」。看见这些词，就能找到「念」。,niàn
zh-六,literacy,六,liù,number,L2,六个 六月,用组词来记：「六个」「六月」。看见这些词，就能找到「六」。,liù
zh-引,literacy,引,yǐn,life,L2,牵引 索引,用组词来记：「牵引」「索引」。看见这些词，就能找到「引」。,yǐn
zh-历,literacy,历,lì,life,L2,病历 简历,用组词来记：「病历」「简历」。看见这些词，就能找到「历」。,lì
zh-首,literacy,首,shǒu,life,L2,昂首 榜首,用组词来记：「昂首」「榜首」。看见这些词，就能找到「首」。,shǒu
zh-医,literacy,医,yī,life,L2,就医 军医,用组词来记：「就医」「军医」。看见这些词，就能找到「医」。,yī
zh-局,literacy,局,jú,life,L2,安全局 败局,用组词来记：「安全局」「败局」。看见这些词，就能找到「局」。,jú
zh-突,literacy,突,tū,life,L2,冲突 唐突,用组词来记：「冲突」「唐突」。看见这些词，就能找到「突」。,tū
zh-专,literacy,专,zhuān,nature,L2,土专家 中专,用组词来记：「土专家」「中专」。看见这些词，就能找到「专」。,zhuān
zh-费,literacy,费,fèi,color,L2,安家费 白费,用组词来记：「安家费」「白费」。看见这些词，就能找到「费」。,fèi
zh-号,literacy,号,hào,life,L2,编号 查号台,用组词来记：「编号」「查号台」。看见这些词，就能找到「号」。,hào
zh-尽,literacy,尽,jǐn,life,L2,不尽 不尽然,用组词来记：「不尽」「不尽然」。看见这些词，就能找到「尽」。,jǐn
zh-另,literacy,另,lìng,life,L2,另加 另据,用组词来记：「另加」「另据」。看见这些词，就能找到「另」。,lìng
zh-周,literacy,周,zhōu,life,L2,本周 不周,用组词来记：「本周」「不周」。看见这些词，就能找到「周」。,zhōu
zh-较,literacy,较,jiào,life,L2,比较 较差,用组词来记：「比较」「较差」。看见这些词，就能找到「较」。,jiào
zh-注,literacy,注,zhù,life,L2,备注 关注,用组词来记：「备注」「关注」。看见这些词，就能找到「注」。,zhù
zh-语,literacy,语,yǔ,animal,L2,鸟语花香 按语,用组词来记：「鸟语花香」「按语」。看见这些词，就能找到「语」。,yǔ
zh-仅,literacy,仅,jǐn,life,L2,不仅 不仅仅,用组词来记：「不仅」「不仅仅」。看见这些词，就能找到「仅」。,jǐn
zh-考,literacy,考,kǎo,life,L2,报考 补考,用组词来记：「报考」「补考」。看见这些词，就能找到「考」。,kǎo
zh-落,literacy,落,luò,number,L2,落九天 月落乌啼,用组词来记：「落九天」「月落乌啼」。看见这些词，就能找到「落」。,luò
zh-青,literacy,青,qīng,food,L2,青菜 上青天,用组词来记：「青菜」「上青天」。看见这些词，就能找到「青」。,qīng
zh-随,literacy,随,suí,life,L2,伴随 跟随,用组词来记：「伴随」「跟随」。看见这些词，就能找到「随」。,suí
zh-选,literacy,选,xuǎn,life,L2,补选 初选,用组词来记：「补选」「初选」。看见这些词，就能找到「选」。,xuǎn
zh-列,literacy,列,liè,life,L2,并列 陈列,用组词来记：「并列」「陈列」。看见这些词，就能找到「列」。,liè
zh-武,literacy,武,wǔ,life,L2,比武 核武器,用组词来记：「比武」「核武器」。看见这些词，就能找到「武」。,wǔ
zh-红,literacy,红,hóng,color,L2,红花 红色,用组词来记：「红花」「红色」。看见这些词，就能找到「红」。,hóng
zh-响,literacy,响,xiǎng,life,L2,反响 回响,用组词来记：「反响」「回响」。看见这些词，就能找到「响」。,xiǎng
zh-虽,literacy,虽,suī,action,L2,虽然 虽说,用组词来记：「虽然」「虽说」。看见这些词，就能找到「虽」。,suī
zh-推,literacy,推,tuī,life,L2,类推 首推,用组词来记：「类推」「首推」。看见这些词，就能找到「推」。,tuī
zh-势,literacy,势,shì,nature,L2,趁势 地势,用组词来记：「趁势」「地势」。看见这些词，就能找到「势」。,shì
zh-参,literacy,参,cān,life,L2,参拜 参观,用组词来记：「参拜」「参观」。看见这些词，就能找到「参」。,cān
zh-希,literacy,希,xī,life,L2,希罕 希冀,用组词来记：「希罕」「希冀」。看见这些词，就能找到「希」。,xī
zh-古,literacy,古,gǔ,life,L2,仿古 古城,用组词来记：「仿古」「古城」。看见这些词，就能找到「古」。,gǔ
zh-众,literacy,众,zhòng,life,L2,出众 大众,用组词来记：「出众」「大众」。看见这些词，就能找到「众」。,zhòng
zh-构,literacy,构,gòu,life,L2,钢结构 构成,用组词来记：「钢结构」「构成」。看见这些词，就能找到「构」。,gòu
zh-房,literacy,房,fáng,life,L2,房子 房间,用组词来记：「房子」「房间」。看见这些词，就能找到「房」。,fáng
zh-半,literacy,半,bàn,life,L2,夜半钟声 半辈子,用组词来记：「夜半钟声」「半辈子」。看见这些词，就能找到「半」。,bàn
zh-节,literacy,节,jié,life,L2,每逢佳节 毕节,用组词来记：「每逢佳节」「毕节」。看见这些词，就能找到「节」。,jié
zh-土,literacy,土,tǔ,nature,L2,土地 泥土,用组词来记：「土地」「泥土」。看见这些词，就能找到「土」。,tǔ
zh-投,literacy,投,tóu,life,L2,空投 投案,用组词来记：「空投」「投案」。看见这些词，就能找到「投」。,tóu
zh-某,literacy,某,mǒu,nature,L2,某部 某地,用组词来记：「某部」「某地」。看见这些词，就能找到「某」。,mǒu
zh-案,literacy,案,àn,life,L2,案犯 案件,用组词来记：「案犯」「案件」。看见这些词，就能找到「案」。,àn
zh-黑,literacy,黑,hēi,color,L2,黑夜 黑色,用组词来记：「黑夜」「黑色」。看见这些词，就能找到「黑」。,hēi
zh-维,literacy,维,wéi,life,L2,思维 维持,用组词来记：「思维」「维持」。看见这些词，就能找到「维」。,wéi
zh-革,literacy,革,gé,life,L2,变革 大革命,用组词来记：「变革」「大革命」。看见这些词，就能找到「革」。,gé
zh-划,literacy,划,huà,life,L2,按计划 比划,用组词来记：「按计划」「比划」。看见这些词，就能找到「划」。,huà
zh-敌,literacy,敌,dí,life,L2,敌对 敌军,用组词来记：「敌对」「敌军」。看见这些词，就能找到「敌」。,dí
zh-致,literacy,致,zhì,life,L2,标致 别致,用组词来记：「标致」「别致」。看见这些词，就能找到「致」。,zhì
zh-陈,literacy,陈,chén,life,L2,陈腐 陈规,用组词来记：「陈腐」「陈规」。看见这些词，就能找到「陈」。,chén
zh-律,literacy,律,lǜ,life,L2,定律 法律,用组词来记：「定律」「法律」。看见这些词，就能找到「律」。,lǜ
zh-足,literacy,足,zú,body,L2,足球 手足,用组词来记：「足球」「手足」。看见这些词，就能找到「足」。,zú
zh-态,literacy,态,tài,life,L2,变态 表态,用组词来记：「变态」「表态」。看见这些词，就能找到「态」。,tài
zh-护,literacy,护,hù,life,L2,爱护 保护,用组词来记：「爱护」「保护」。看见这些词，就能找到「护」。,hù
zh-七,literacy,七,qī,number,L2,七个 七月,用组词来记：「七个」「七月」。看见这些词，就能找到「七」。,qī
zh-兴,literacy,兴,xìng,self,L2,高兴 兴趣,用组词来记：「高兴」「兴趣」。看见这些词，就能找到「兴」。,xìng
zh-派,literacy,派,pài,life,L2,帮派 保守派,用组词来记：「帮派」「保守派」。看见这些词，就能找到「派」。,pài
zh-孩,literacy,孩,hái,life,L2,女孩 孩子,用组词来记：「女孩」「孩子」。看见这些词，就能找到「孩」。,hái
zh-验,literacy,验,yàn,life,L2,测验 查验,用组词来记：「测验」「查验」。看见这些词，就能找到「验」。,yàn
zh-责,literacy,责,zé,life,L2,斥责 担责任,用组词来记：「斥责」「担责任」。看见这些词，就能找到「责」。,zé
zh-营,literacy,营,yíng,life,L2,兵营 大本营,用组词来记：「兵营」「大本营」。看见这些词，就能找到「营」。,yíng
zh-星,literacy,星,xīng,nature,L2,星星 星空,用组词来记：「星星」「星空」。看见这些词，就能找到「星」。,xīng
zh-够,literacy,够,gòu,life,L2,不够 能够,用组词来记：「不够」「能够」。看见这些词，就能找到「够」。,gòu
zh-章,literacy,章,zhāng,life,L2,党章 公章,用组词来记：「党章」「公章」。看见这些词，就能找到「章」。,zhāng
zh-音,literacy,音,yīn,life,L2,乡音无改 播音,用组词来记：「乡音无改」「播音」。看见这些词，就能找到「音」。,yīn
zh-跟,literacy,跟,gēn,life,L2,跟班 跟前,用组词来记：「跟班」「跟前」。看见这些词，就能找到「跟」。,gēn
zh-志,literacy,志,zhì,life,L2,标志 斗志,用组词来记：「标志」「斗志」。看见这些词，就能找到「志」。,zhì
zh-底,literacy,底,dǐ,life,L2,彻底 底部,用组词来记：「彻底」「底部」。看见这些词，就能找到「底」。,dǐ
zh-站,literacy,站,zhàn,action,L2,站好 站住,用组词来记：「站好」「站住」。看见这些词，就能找到「站」。,zhàn
zh-严,literacy,严,yán,life,L2,不严 从严,用组词来记：「不严」「从严」。看见这些词，就能找到「严」。,yán
zh-巴,literacy,巴,bā,life,L2,巴不得 巴望,用组词来记：「巴不得」「巴望」。看见这些词，就能找到「巴」。,bā
zh-例,literacy,例,lì,life,L2,按比例 按惯例,用组词来记：「按比例」「按惯例」。看见这些词，就能找到「例」。,lì
